Resort ID,NameResort
307,millruette-goetzis
308,mitteldorflift-doellach-grosskirchheim
309,moenchdorf-koenigswiesen
310,moosberglift-weissenbach-am-lech
311,moosenlift-uttendorf
312,moosetallift-leisach
313,muckenkogel-lilienfeld
314,muehldorf
315,muehlegglift-hopfgarten-in-defereggen
316,nagelkoepfl-piesendorf
317,naggler-alm-techendorf-weissensee
318,navis
319,neuleutasch-leutasch
320,niederalpl-muerzsteg-neuberg-an-der-muerz
321,niedere-andelsbuchbezau
322,niedernsill
323,niederthai-umhausen
324,nocksteinlifte-koppl
325,nussbaumerlifte-hof-bei-salzburg
326,obdach
327,oberaschenberg-neustift-im-muehlkreis
328,oberau-wildschoenau
329,oberneukirchen
330,obervellach
331,oberwaldlifte-faistenau
332,oberzeiring-poelstal
333,oswaldbauerlift-krieglach
334,paluda-dalaas
335,patschalift-st-kathrein-am-offenegg
336,peretseck-st-johann-am-walde
337,petersbruendl-st-michael-im-lungau
338,pfaender-bregenz
339,pfaring-angerberg
340,pirstingerkogellift-sommeralm-hohenau-an-der-raab-passail
341,platzhaus-leitn-stuhlfelden
342,poelzl-lifte-kindberg
343,postalm-am-wolfgangsee
344,praegraten-am-grossvenediger
345,predigstuhl-bad-goisern-am-hallstaettersee
346,raggal
347,raml-molln
348,raunigwiese-kolbnitz-reisseck
349,raxalpe-reichenau-an-der-rax
350,reither-kogel-reith-im-alpbachtal
351,rettenbach-bernstein
352,rettenegg
353,rieseralm-obdach
354,roggenboden
355,rossbachlift-nassereith
356,rotecklift-tobadill
357,salzstiegl-hirschegg
358,saualpe-eberstein
359,schattwaldzoeblen
360,schatzerlift-kirchberg
361,schleppe-alm-klagenfurt-am-woerthersee
362,schmiedhornlift-wald-faistenau
363,schmolllifte-steinhaus-am-semmering
364,schnee-erlebnisland-flattach
365,schneeerlebniswelt-seestadt-aspern-vienna
366,schneiderkopf-buch
367,schnifisberg-schnifis
368,schoenfeld-thomatal
369,schorschi-lifte-st-georgen-am-walde
370,schuttannen-hohenems
371,schwabenbergarena-turnau
