Resort ID,Resort Name,Continent,Country,State/Province
178,brandlift-scharnitz,Europe,Austria,Tyrol (Tirol)
179,brandlwiese-kaumberg,Europe,Austria,Lower Austria (Niederosterreich)
180,brandtner-lifte-hartkirchen,Europe,Austria,Upper Austria (Oberosterreich)
181,braz-innerbraz,Europe,Austria,Vorarlberg
182,breitenwang,Europe,Austria,Tyrol (Tirol)
183,brenneralm-breitenfurt-bei-wien,Europe,Austria,Lower Austria (Niederosterreich)
184,bruggen-greifenburg,Europe,Austria,Carinthia (Karnten)
185,brunnalmhohe-veitsch-veitsch-st-barbara-im-muerztal,Europe,Austria,Styria (Steiermark)
186,bschlabs-pfafflar,Europe,Austria,Tyrol (Tirol)
187,buchberg-goldegg,Europe,Austria,Salzburg (Salzburger Land)
188,buchsteinlift-reiflingviertel-st-gallen,Europe,Austria,Styria (Steiermark)
189,buergeralm-aflenz,Europe,Austria,Styria (Steiermark)
190,bungerloch-tarrenz,Europe,Austria,Tyrol (Tirol)
191,dellach-im-drautal,Europe,Austria,Carinthia (Karnten)
192,dollwiese-vienna,Europe,Austria,Vienna (Wien)
193,dorflift-sulzberg,Europe,Austria,Vorarlberg
194,druckerhof-unterach-am-attersee,Europe,Austria,Salzkammergut
195,eberschwang-hausruck,Europe,Austria,Upper Austria (Oberosterreich)
196,eibisberg-anger,Europe,Austria,Styria (Steiermark)
197,eichfeldlift-turnau,Europe,Austria,Styria (Steiermark)
198,elfer-neustift,Europe,Austria,Tyrol (Tirol)
199,embach-hoerndl,Europe,Austria,Salzburg (Salzburger Land)
200,emberger-alm-berg-im-drautal,Europe,Austria,Carinthia (Karnten)
201,eugendorf,Europe,Austria,Salzburg (Salzburger Land)
202,fageralm-forstau,Europe,Austria,Salzburg (Salzburger Land)
203,faschina-fontanella,Europe,Austria,Vorarlberg
204,feichtecklift-brandlucken-st-kathrein-am-offenegg,Europe,Austria,Styria (Steiermark)
205,feichten,Europe,Austria,Tyrol (Tirol)
206,feistritzsattel-trattenbach,Europe,Austria,Lower Austria (Niederosterreich)
207,fellachlift-virgen,Europe,Austria,Tyrol (Tirol)
208,fischbach,Europe,Austria,Styria (Steiermark)
209,floitenlift-ginzling,Europe,Austria,Tyrol (Tirol)
210,foersterkogel-puchenstuben,Europe,Austria,Lower Austria (Niederosterreich)
211,forsteralm-waidhofen-an-der-ybbs,Europe,Austria,Upper Austria (Oberosterreich)
212,frauenstaffl-ulrichsberg-waidhofen-an-der-thaya,Europe,Austria,Lower Austria (Niederosterreich)
213,freistadt,Europe,Austria,Upper Austria (Oberosterreich)
214,furtnerlifts-rohr-im-gebirge,Europe,Austria,Lower Austria (Niederosterreich)
215,gaaler-lifte-gaal,Europe,Austria,Styria (Steiermark)
216,gaberlplankogel-salla-maria-lankowitz,Europe,Austria,Styria (Steiermark)
217,gaisrueckleiten-wiesen,Europe,Austria,Burgenland
218,gedersberg-seiersberg,Europe,Austria,Styria (Steiermark)
219,geigenbuehel,Europe,Austria,Tyrol (Tirol)
220,gerlossteinramsberg-hainzenberg,Europe,Austria,Tyrol (Tirol)
221,gfoellberglift-holzgau,Europe,Austria,Tyrol (Tirol)
222,glasenberg-maria-neustift,Europe,Austria,Upper Austria (Oberosterreich)
223,goellerlifts-gscheid-st-aegyd-am-neuwalde,Europe,Austria,Lower Austria (Niederosterreich)
224,gramais,Europe,Austria,Tyrol (Tirol)
225,graukogel-bad-gastein,Europe,Austria,Salzburg (Salzburger Land)
226,gries-laengenfeld,Europe,Austria,Tyrol (Tirol)
227,griminitzen-kirchbach,Europe,Austria,Carinthia (Karnten)
228,groellerkopf-uebersaxen,Europe,Austria,Vorarlberg
229,gruenberg-obsteig,Europe,Austria,Tyrol (Tirol)
230,grunholzlift-au,Europe,Austria,Vorarlberg
231,gut-enghagen-rossleithen,Europe,Austria,Upper Austria (Oberosterreich)
232,haeselgehr,Europe,Austria,Tyrol (Tirol)
233,hagenberglifte-sulzberg,Europe,Austria,Vorarlberg
234,hahnbaum-st-johann-im-pongau,Europe,Austria,Salzburg (Salzburger Land)
235,hallstatt,Europe,Austria,Upper Austria (Oberosterreich)
236,hammerbodenlift-grossreifling-landl,Europe,Austria,Styria (Steiermark)
237,hansberg-st-johann-am-wimberg,Europe,Austria,Upper Austria (Oberosterreich)
238,hartmannsdorf,Europe,Austria,Styria (Steiermark)
239,hauereck-st-kathrein-am-hauenstein,Europe,Austria,Styria (Steiermark)
240,hausberglift-waidring,Europe,Austria,Tyrol (Tirol)
241,heidialm-skipark-falkert,Europe,Austria,Carinthia (Karnten)
242,heumoeser-ebnit-dornbirn,Europe,Austria,Vorarlberg
243,hinterfeld-moesern-telfs,Europe,Austria,Tyrol (Tirol)
244,hinterreit-saalfelden-am-steinernen-meer,Europe,Austria,Salzburg (Salzburger Land)
245,hirnkopf-flattnitz-gloednitz,Europe,Austria,Carinthia (Karnten)
246,hittisberg-hittisau,Europe,Austria,Vorarlberg
247,hochbaerneck-st-anton-an-der-jessnitz,Europe,Austria,Lower Austria (Niederosterreich)
248,hochhaederich-hittisau,Europe,Austria,Vorarlberg
