Resort ID,Rate,Stars
1920,1.0,1.0
1921,2.0,1.0
1922,1.0,1.0
2555,3.7,3.0
2556,3.1,3.0
2571,3.7,2.0
2572,3.3,2.0
2573,3.2,1.0
2578,1.0,2.0
2579,1.0,1.0
2872,3.6,3.0
2873,3.5,3.0
2921,3.6,4.0
2925,3.6,2.0
2926,3.3,1.0
2927,2.8,1.0
2928,2.8,4.0
2932,2.7,2.0
2933,1.0,2.0
2934,1.0,2.0
2935,1.0,1.0
2936,1.0,1.0
3179,3.6,4.0
3180,3.2,2.0
3184,3.5,3.0
3243,3.2,1.0
3244,2.7,1.0
3245,1.0,1.0
3246,1.0,1.0
3285,3.0,2.0
3393,1.0,2.0
3394,1.0,1.0
3395,1.0,1.0
3396,1.0,1.0
3397,1.0,1.0
3487,2.7,1.0
3498,1.0,1.0
3499,1.0,1.0
3510,1.0,1.0
