Resort ID,Adult,Currency
507,46.8,Swiss Franc
508,46.8,Swiss Franc
509,48.0,Swiss Franc
510,50.4,Swiss Franc
511,75.6,Swiss Franc
512,52.8,Swiss Franc
513,42.0,Swiss Franc
514,46.8,Swiss Franc
515,51.6,Swiss Franc
516,62.4,Swiss Franc
517,51.6,Swiss Franc
518,46.8,Swiss Franc
519,57.599999999999994,Swiss Franc
520,52.8,Swiss Franc
521,66.0,Swiss Franc
522,46.8,Swiss Franc
523,39.6,Swiss Franc
524,62.4,Swiss Franc
525,36.0,Swiss Franc
526,46.8,Swiss Franc
527,48.0,Swiss Franc
528,33.6,Swiss Franc
529,43.199999999999996,Swiss Franc
530,46.8,Swiss Franc
531,42.0,Swiss Franc
532,38.4,Swiss Franc
533,39.6,Swiss Franc
534,0.0,-
535,32.4,Swiss Franc
536,42.0,Swiss Franc
537,19.2,Swiss Franc
538,12.0,Swiss Franc
539,42.0,Swiss Franc
540,38.4,Swiss Franc
541,55.199999999999996,Swiss Franc
542,26.4,Swiss Franc
543,38.4,Swiss Franc
544,37.199999999999996,Swiss Franc
545,21.599999999999998,Swiss Franc
546,18.0,Swiss Franc
547,0.0,-
548,0.0,-
549,45.6,Swiss Franc
550,25.2,Swiss Franc
551,14.399999999999999,Swiss Franc
552,12.0,Swiss Franc
553,0.0,-
554,26.4,Swiss Franc
555,51.6,Swiss Franc
556,13.2,Swiss Franc
557,36.0,Swiss Franc
558,39.6,Swiss Franc
559,34.8,Swiss Franc
560,45.6,Swiss Franc
561,42.0,Swiss Franc
562,28.799999999999997,Swiss Franc
563,28.799999999999997,Swiss Franc
564,18.0,Swiss Franc
565,18.0,Swiss Franc
566,30.0,Swiss Franc
567,42.0,Swiss Franc
568,32.4,Swiss Franc
569,0.0,-
570,9.6,Swiss Franc
571,21.599999999999998,Swiss Franc
572,40.8,Swiss Franc
573,9.6,Swiss Franc
574,32.4,Swiss Franc
575,52.8,Swiss Franc
576,16.8,Swiss Franc
577,58.8,Swiss Franc
578,39.6,Swiss Franc
579,45.6,Swiss Franc
580,38.4,Swiss Franc
581,0.0,-
582,42.0,Swiss Franc
583,50.4,Swiss Franc
584,34.8,Swiss Franc
585,24.0,Swiss Franc
586,21.599999999999998,Swiss Franc
587,0.0,-
588,19.2,Swiss Franc
589,28.799999999999997,Swiss Franc
590,0.0,-
591,70.8,Swiss Franc
592,43.199999999999996,Swiss Franc
593,30.0,Swiss Franc
594,24.0,Swiss Franc
595,6.0,Swiss Franc
596,0.0,-
597,26.4,Swiss Franc
598,46.8,Swiss Franc
599,36.0,Swiss Franc
600,0.0,-
601,40.8,Swiss Franc
602,0.0,-
