Resort ID,Resort Name,Continent,Country,State/Province,Country Code,Adult Price(£)
193,dorflift-sulzberg,Europe,Austria,Vorarlberg,AT,9.0
197,eichfeldlift-turnau,Europe,Austria,Styria (Steiermark),AT,17.0
199,embach-hoerndl,Europe,Austria,Salzburg (Salzburger Land),AT,22.0
201,eugendorf,Europe,Austria,Salzburg (Salzburger Land),AT,17.0
202,fageralm-forstau,Europe,Austria,Salzburg (Salzburger Land),AT,47.0
206,feistritzsattel-trattenbach,Europe,Austria,Lower Austria (Niederosterreich),AT,17.0
207,fellachlift-virgen,Europe,Austria,Tyrol (Tirol),AT,10.0
209,floitenlift-ginzling,Europe,Austria,Tyrol (Tirol),AT,8.0
210,foersterkogel-puchenstuben,Europe,Austria,Lower Austria (Niederosterreich),AT,20.0
211,forsteralm-waidhofen-an-der-ybbs,Europe,Austria,Upper Austria (Oberosterreich),AT,29.0
214,furtnerlifts-rohr-im-gebirge,Europe,Austria,Lower Austria (Niederosterreich),AT,24.0
215,gaaler-lifte-gaal,Europe,Austria,Styria (Steiermark),AT,32.0
216,gaberlplankogel-salla-maria-lankowitz,Europe,Austria,Styria (Steiermark),AT,25.0
218,gedersberg-seiersberg,Europe,Austria,Styria (Steiermark),AT,17.0
219,geigenbuehel,Europe,Austria,Tyrol (Tirol),AT,28.0
220,gerlossteinramsberg-hainzenberg,Europe,Austria,Tyrol (Tirol),AT,52.0
221,gfoellberglift-holzgau,Europe,Austria,Tyrol (Tirol),AT,33.0
222,glasenberg-maria-neustift,Europe,Austria,Upper Austria (Oberosterreich),AT,14.0
223,goellerlifts-gscheid-st-aegyd-am-neuwalde,Europe,Austria,Lower Austria (Niederosterreich),AT,23.0
225,graukogel-bad-gastein,Europe,Austria,Salzburg (Salzburger Land),AT,36.0
227,griminitzen-kirchbach,Europe,Austria,Carinthia (Karnten),AT,9.0
228,groellerkopf-uebersaxen,Europe,Austria,Vorarlberg,AT,19.0
229,gruenberg-obsteig,Europe,Austria,Tyrol (Tirol),AT,18.0
233,hagenberglifte-sulzberg,Europe,Austria,Vorarlberg,AT,22.0
234,hahnbaum-st-johann-im-pongau,Europe,Austria,Salzburg (Salzburger Land),AT,36.0
239,hauereck-st-kathrein-am-hauenstein,Europe,Austria,Styria (Steiermark),AT,30.0
240,hausberglift-waidring,Europe,Austria,Tyrol (Tirol),AT,27.0
244,hinterreit-saalfelden-am-steinernen-meer,Europe,Austria,Salzburg (Salzburger Land),AT,33.0
245,hirnkopf-flattnitz-gloednitz,Europe,Austria,Carinthia (Karnten),AT,28.0
246,hittisberg-hittisau,Europe,Austria,Vorarlberg,AT,16.0
247,hochbaerneck-st-anton-an-der-jessnitz,Europe,Austria,Lower Austria (Niederosterreich),AT,16.0
248,hochhaederich-hittisau,Europe,Austria,Vorarlberg,AT,31.0
250,hochlecken-neukirchen-altmuenster,Europe,Austria,Upper Austria (Oberosterreich),AT,17.0
251,hochlitten-riefensberg,Europe,Austria,Vorarlberg,AT,28.0
252,hochmoos-leutasch,Europe,Austria,Tyrol (Tirol),AT,32.0
254,hochrindl-sirnitz,Europe,Austria,Carinthia (Karnten),AT,33.0
255,hochwechsellifts-moenichwald,Europe,Austria,Styria (Steiermark),AT,22.0
256,hohentauern,Europe,Austria,Styria (Steiermark),AT,34.0
258,hoislifts-modriach-edelschrott,Europe,Austria,Styria (Steiermark),AT,20.0
261,hrastlift-feistritz-an-der-gail,Europe,Austria,Carinthia (Karnten),AT,19.0
262,huettegglift-weerberg,Europe,Austria,Tyrol (Tirol),AT,20.0
267,kaiserau-admont,Europe,Austria,Styria (Steiermark),AT,26.0
270,karlift-heiterwang,Europe,Austria,Tyrol (Tirol),AT,39.0
272,kesselmannlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land),AT,10.0
275,kirchbach-rappottenstein,Europe,Austria,Lower Austria (Niederosterreich),AT,20.0
278,kirchschlag-bei-linz,Europe,Austria,Upper Austria (Oberosterreich),AT,18.0
279,kleinlobming,Europe,Austria,Styria (Steiermark),AT,23.0
280,kluglifte-hebalm-rettenbach-deutschlandsberg,Europe,Austria,Styria (Steiermark),AT,20.0
282,koenigsberg-hollenstein-an-der-ybbs,Europe,Austria,Lower Austria (Niederosterreich),AT,25.0
284,koetschach-mauthen-vorhegg,Europe,Austria,Carinthia (Karnten),AT,32.0
286,kolsassberg,Europe,Austria,Tyrol (Tirol),AT,18.0
288,koralpe,Europe,Austria,Carinthia (Karnten),AT,33.0
290,krinnenalpe-nesselwaengle,Europe,Austria,Tyrol (Tirol),AT,37.0
292,kroessbach,Europe,Austria,Tyrol (Tirol),AT,15.0
293,kronberg-st-georgen-im-attergau,Europe,Austria,Upper Austria (Oberosterreich),AT,15.0
294,laerchenhof-erpfendorf,Europe,Austria,Tyrol (Tirol),AT,25.0
296,lammeralm-langenwang,Europe,Austria,Styria (Steiermark),AT,29.0
297,lammertallift-annaberg-lungoetz,Europe,Austria,Salzburg (Salzburger Land),AT,18.0
300,lechnerberg,Europe,Austria,Salzburg (Salzburger Land),AT,39.0
303,liebenau,Europe,Austria,Upper Austria (Oberosterreich),AT,17.0
304,maiszinken-lunz-am-see,Europe,Austria,Lower Austria (Niederosterreich),AT,19.0
306,mathon,Europe,Austria,Tyrol (Tirol),AT,21.0
307,millruette-goetzis,Europe,Austria,Vorarlberg,AT,9.0
308,mitteldorflift-doellach-grosskirchheim,Europe,Austria,Carinthia (Karnten),AT,9.0
312,moosetallift-leisach,Europe,Austria,Tyrol (Tirol),AT,10.0
313,muckenkogel-lilienfeld,Europe,Austria,Lower Austria (Niederosterreich),AT,19.0
314,muehldorf,Europe,Austria,Carinthia (Karnten),AT,8.0
318,navis,Europe,Austria,Tyrol (Tirol),AT,10.0
319,neuleutasch-leutasch,Europe,Austria,Tyrol (Tirol),AT,15.0
320,niederalpl-muerzsteg-neuberg-an-der-muerz,Europe,Austria,Styria (Steiermark),AT,32.0
321,niedere-andelsbuchbezau,Europe,Austria,Vorarlberg,AT,32.0
323,niederthai-umhausen,Europe,Austria,Tyrol (Tirol),AT,26.0
328,oberau-wildschoenau,Europe,Austria,Tyrol (Tirol),AT,30.0
331,oberwaldlifte-faistenau,Europe,Austria,Salzburg (Salzburger Land),AT,10.0
332,oberzeiring-poelstal,Europe,Austria,Styria (Steiermark),AT,20.0
333,oswaldbauerlift-krieglach,Europe,Austria,Styria (Steiermark),AT,13.0
334,paluda-dalaas,Europe,Austria,Vorarlberg,AT,15.0
337,petersbruendl-st-michael-im-lungau,Europe,Austria,Salzburg (Salzburger Land),AT,14.0
340,pirstingerkogellift-sommeralm-hohenau-an-der-raab-passail,Europe,Austria,Styria (Steiermark),AT,19.0
341,platzhaus-leitn-stuhlfelden,Europe,Austria,Salzburg (Salzburger Land),AT,7.0
342,poelzl-lifte-kindberg,Europe,Austria,Styria (Steiermark),AT,15.0
343,postalm-am-wolfgangsee,Europe,Austria,Salzburg (Salzburger Land),AT,34.0
344,praegraten-am-grossvenediger,Europe,Austria,Tyrol (Tirol),AT,24.0
346,raggal,Europe,Austria,Vorarlberg,AT,22.0
348,raunigwiese-kolbnitz-reisseck,Europe,Austria,Carinthia (Karnten),AT,12.0
353,rieseralm-obdach,Europe,Austria,Styria (Steiermark),AT,26.0
355,rossbachlift-nassereith,Europe,Austria,Tyrol (Tirol),AT,5.0
357,salzstiegl-hirschegg,Europe,Austria,Styria (Steiermark),AT,33.0
358,saualpe-eberstein,Europe,Austria,Carinthia (Karnten),AT,17.0
359,schattwaldzoeblen,Europe,Austria,Tyrol (Tirol),AT,37.0
360,schatzerlift-kirchberg,Europe,Austria,Tyrol (Tirol),AT,22.0
362,schmiedhornlift-wald-faistenau,Europe,Austria,Salzburg (Salzburger Land),AT,10.0
363,schmolllifte-steinhaus-am-semmering,Europe,Austria,Styria (Steiermark),AT,19.0
364,schnee-erlebnisland-flattach,Europe,Austria,Carinthia (Karnten),AT,13.0
366,schneiderkopf-buch,Europe,Austria,Vorarlberg,AT,18.0
368,schoenfeld-thomatal,Europe,Austria,Salzburg (Salzburger Land),AT,24.0
370,schuttannen-hohenems,Europe,Austria,Vorarlberg,AT,14.0
371,schwabenbergarena-turnau,Europe,Austria,Styria (Steiermark),AT,30.0
374,seeberg-seewiesen-turnau,Europe,Austria,Styria (Steiermark),AT,24.0
375,serles-mieders,Europe,Austria,Tyrol (Tirol),AT,30.0
376,siebenseelift-wildalpen,Europe,Austria,Styria (Steiermark),AT,8.0
378,simas-lifte-st-peterst-corona,Europe,Austria,Lower Austria (Niederosterreich),AT,18.0
380,sonnberglifts-wald-am-schoberpass,Europe,Austria,Styria (Steiermark),AT,26.0
381,sonnenberglift-gries-im-sellrain,Europe,Austria,Tyrol (Tirol),AT,13.0
382,sonnenberglift-milders,Europe,Austria,Tyrol (Tirol),AT,11.0
383,sonnenlift-praxmar,Europe,Austria,Tyrol (Tirol),AT,11.0
384,sonntag-stein,Europe,Austria,Vorarlberg,AT,35.0
388,st-hemma-edelschrott,Europe,Austria,Styria (Steiermark),AT,16.0
389,st-jakob-im-walde,Europe,Austria,Styria (Steiermark),AT,22.0
391,st-martin-im-tennengebirge,Europe,Austria,Salzburg (Salzburger Land),AT,23.0
394,stanzach,Europe,Austria,Tyrol (Tirol),AT,22.0
395,steinberg-am-rofan,Europe,Austria,Tyrol (Tirol),AT,23.0
397,stoaninger-alm-schoenau-im-muehlkreis,Europe,Austria,Upper Austria (Oberosterreich),AT,14.0
402,thalgauberg-thalgau,Europe,Austria,Salzburg (Salzburger Land),AT,13.0
403,tockneralmlift-krakauebene-krakauhintermuehlen-krakau,Europe,Austria,Styria (Steiermark),AT,17.0
404,tonnerhuette-muehlen,Europe,Austria,Styria (Steiermark),AT,20.0
406,tschardund-nenzing,Europe,Austria,Vorarlberg,AT,11.0
407,turmkogel-puchenstuben,Europe,Austria,Lower Austria (Niederosterreich),AT,20.0
412,voegelsberg-wattens,Europe,Austria,Tyrol (Tirol),AT,18.0
414,waldheimhuette-sankt-anna-am-lavantegg,Europe,Austria,Styria (Steiermark),AT,12.0
415,waldrastlift-ehenbichl,Europe,Austria,Tyrol (Tirol),AT,18.0
417,weinebene-frantschach-sankt-gertraud,Europe,Austria,Carinthia (Karnten),AT,29.0
419,wenigzell,Europe,Austria,Styria (Steiermark),AT,22.0
420,wetterstein-lifts-wettersteinbahnen-ehrwald,Europe,Austria,Tyrol (Tirol),AT,44.0
424,wildstaettlift-wattenberg,Europe,Austria,Tyrol (Tirol),AT,10.0
425,wimmerlifte-purgstall-bei-eggersdorf,Europe,Austria,Styria (Steiermark),AT,18.0
426,wunderwiese-puchberg-am-schneeberg,Europe,Austria,Lower Austria (Niederosterreich),AT,15.0
427,zahmer-kaiser-walchsee,Europe,Austria,Tyrol (Tirol),AT,30.0
428,zederhaus,Europe,Austria,Salzburg (Salzburger Land),AT,5.0
429,zellenberg-kukmirn,Europe,Austria,Burgenland,AT,10.0
430,zenitzen-winklern,Europe,Austria,Carinthia (Karnten),AT,10.0
433,zwoelferhorn-st-gilgen,Europe,Austria,Salzburg (Salzburger Land),AT,30.0
434,Arosa Lenzerheide,Europe,Switzerland,Eastern Switzerland,CH,90.0
435,St. Moritz – Corviglia,Europe,Switzerland,Eastern Switzerland,CH,94.8
436,Laax/Flims/Falera,Europe,Switzerland,Eastern Switzerland,CH,93.6
437,Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,Europe,Switzerland,Lemanic Region,CH,110.4
438, Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn,Europe,Switzerland,Lemanic Region,CH,72.0
440,Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch,Europe,Switzerland,Espace Mittelland,CH,76.8
441, Scuol – Motta Naluns,Europe,Switzerland,Eastern Switzerland,CH,68.4
442,Titlis – Engelberg,Europe,Switzerland,Central Switzerland,CH,78.0
443,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Europe,Switzerland,Lemanic Region,CH,90.0
444,Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,Europe,Switzerland,Lemanic Region,CH,52.0
445,Flumserberg,Europe,Switzerland,Eastern Switzerland,CH,69.6
446,Obersaxen/Mundaun/Val Lumnezia,Europe,Switzerland,Eastern Switzerland,CH,69.6
447,Jakobshorn (Davos Klosters),Europe,Switzerland,Eastern Switzerland,CH,79.2
448,Kleine Scheidegg/Männlichen – Grindelwald/Wengen,Europe,Switzerland,Espace Mittelland,CH,76.8
449,Parsenn (Davos Klosters),Europe,Switzerland,Eastern Switzerland,CH,84.0
450,Corvatsch/Furtschellas,Europe,Switzerland,Eastern Switzerland,CH,94.8
451, First – Grindelwald,Europe,Switzerland,Espace Mittelland,CH,76.8
452, Saas-Fee,Europe,Switzerland,Lemanic Region,CH,87.6
453,. Rinderberg/Saanerslochgrat/Horneggli – Zweisimmen/Saanenmöser/Schönried/St. Stephan,Europe,Switzerland,Espace Mittelland,CH,75.6
454, Stoos – Fronalpstock/Klingenstock,Europe,Switzerland,Central Switzerland,CH,60.0
455,. Hohsaas – Saas-Grund,Europe,Switzerland,Lemanic Region,CH,64.8
456, Pizol – Bad Ragaz/Wangs,Europe,Switzerland,Eastern Switzerland,CH,66.0
457, Hoch-Ybrig – Unteriberg/Oberiberg,Europe,Switzerland,Central Switzerland,CH,63.6
458,Lauchernalp – Lötschental,Europe,Switzerland,Lemanic Region,CH,66.0
459, Meiringen-Hasliberg,Europe,Switzerland,Espace Mittelland,CH,68.4
460, Brigels/Waltensburg/Andiast,Europe,Switzerland,Eastern Switzerland,CH,67.2
461,grimentzzinal,Europe,Switzerland,Lemanic Region,CH,73.2
462, Elm im Sernftal,Europe,Switzerland,Eastern Switzerland,CH,57.6
